module_id,n_genes,gwas_or,gwas_p,gwas_fdr_bh,twas_or,twas_p,twas_fdr_bh,smr_or,smr_p,smr_fdr_bh,de_or,de_p,de_fdr_bh
grey,3909,0.377701041965107,0.004810800091882881,0.05291880101071169,0.977112920302289,0.9060346488839274,0.9966381137723201,0.8966360930719464,0.39477724079065274,0.6248896178582429,0.6730363154203611,1.7882900760169568e-11,5.620340238910436e-11
yellow,1569,0.5093013442642715,0.2532478599528408,0.5068536044455022,0.9820419049267772,1.0,1.0,1.1852224867240433,0.27233745426936196,0.5991423993925963,0.5580722608419304,4.5132323076614416e-10,1.2411388846068965e-09
turquoise,3313,0.5227596912233596,0.0577325743063425,0.254023326947907,0.6522097252310625,0.002940217927725722,0.03234239720498294,0.8489179015221141,0.22484814810225975,0.5496288064721905,0.3057420629232809,2.263034658090487e-56,2.4893381238995355e-55
cyan,373,0.5503354049521555,1.0,1.0,1.066691182832915,0.8596502615858925,0.9963702612273739,1.5596747006971428,0.12494976105811606,0.5373586675776512,1.8804809487658247,6.73489706181264e-06,1.2297769380145422e-05
green,1563,0.25062282012954656,0.03482015542928588,0.19151085486107236,0.9553518111541258,0.860501589241823,0.9963702612273739,0.8458333333333333,0.39765702954615456,0.6248896178582429,0.3810265058045196,7.589137328222364e-21,3.33922042441784e-20
brown,2245,2.1710199256325278,0.0032054090496866344,0.05291880101071169,0.8918607087375172,0.5020169514907914,0.7362915288531607,1.1413445305636467,0.31586764802874256,0.6164376244925114,2.945581112266376,6.003082217364321e-79,1.3206780878201507e-77
black,1014,1.6903286165360776,0.15777912799804264,0.43389260199461727,1.5299784510077323,0.022880141548165964,0.1049451843485216,0.9164919217192652,0.7562817166403023,0.8756946192677184,2.3128402054133237,1.0360067308612561e-23,5.698037019736908e-23
midnightblue,367,2.3207027392276105,0.10201798985947372,0.32062796812977457,1.3387884709330728,0.3720339839930856,0.5846248319891346,1.2292134831460675,0.4936452315055031,0.70445631877552,1.5066207329936934,0.005327743792971238,0.006168966497124592
lightyellow,226,3.8186299507054224,0.024026307547744794,0.17619292201679518,1.3826394484734532,0.3646751503354757,0.5846248319891346,1.2702883141288759,0.5123318682003781,0.70445631877552,1.8267502020345083,0.0008010333271010287,0.0009790407331234795
tan,408,1.5425406715126342,0.4512449145349542,0.620461757485562,1.3131713171317132,0.31498050114996945,0.5846248319891346,1.4188513256433337,0.1954031518464186,0.5373586675776512,1.9446177523899724,5.32290119791384e-07,1.064580239582768e-06
royalblue,214,0.9679975879743291,1.0,1.0,1.0312780352870814,0.8176511761678604,0.9963702612273739,0.37168798730887365,0.1832822467254212,0.5373586675776512,0.8146105811637294,0.45481350330835557,0.45481350330835557
magenta,676,0.9171098859896405,1.0,1.0,0.44338052111726606,0.025029912470451228,0.1049451843485216,0.9597331109257715,1.0,1.0,0.4387564675920876,5.544032043365327e-08,1.219687049540372e-07
darkred,202,2.0821296296296294,0.2548556750792634,0.5068536044455022,2.02748765860226,0.050994632151359603,0.16026884390427304,1.8621592701058798,0.10208863625768085,0.5373586675776512,1.9240641484850693,0.00041042623504096925,0.0005311398335824308
pink,788,1.6160485933503836,0.28367151243789657,0.5068536044455022,1.878492336224295,0.0014313237162481727,0.0314891217574598,1.3695488998454632,0.1270863569491593,0.5373586675776512,3.5092092756326334,1.1679997157485168e-46,8.565331248822458e-46
blue,2511,1.3775295271393853,0.22296184033292965,0.5068536044455022,1.1450810155427513,0.31954514564579084,0.5846248319891346,0.9667323859013919,0.891319219198354,0.9804511411181894,0.7295359596523315,7.825853241910723e-06,1.2297769380145422e-05
lightgreen,227,1.848724279835391,0.29950440262688766,0.5068536044455022,0.0,0.011219153859143068,0.08227379496704917,0.3500059630292188,0.18894462623410996,0.5373586675776512,2.029600030541734,4.564247608974184e-05,6.694229826495471e-05
lightcyan,338,2.5254773471924077,0.08120865674951906,0.2977650747482366,0.9101534269296843,1.0,1.0,0.9603156337333553,1.0,1.0,2.7384106421830787,1.682036869727548e-13,6.167468522334343e-13
purple,475,0.42993457980102967,0.7316611937165405,0.9468556624566995,0.36104178824035793,0.02862141391323316,0.1049451843485216,0.41646257462115416,0.049418638493517866,0.5373586675776512,0.44643613801452786,7.295150816714828e-06,1.2297769380145422e-05
red,1253,0.9919190672999815,1.0,1.0,1.2162057960823878,0.2818830724109043,0.5846248319891346,1.257068668413474,0.18809664782973223,0.5373586675776512,0.6731806695249724,8.420110611311567e-05,0.00011577652090553404
grey60,291,0.0,0.40875120940431775,0.620461757485562,0.4456874189364462,0.2284949534954846,0.558543219655629,0.5492089904228101,0.33623870426864255,0.6164376244925114,0.15600660844937456,1.1877351513601252e-09,2.903352592213639e-09
salmon,397,1.5863892974050002,0.44433090162609956,0.620461757485562,1.5912774008689379,0.08937103055010201,0.24577033401278053,1.1321243523316062,0.6235410363540722,0.7823895783606517,1.3972427936652614,0.022274141587430726,0.0245015557461738
greenyellow,438,0.9450815494393476,1.0,1.0,1.1125649119234293,0.7441069953690413,0.9963702612273739,1.119064111444624,0.6401369277496242,0.7823895783606517,0.7710593556177198,0.13364075518081847,0.14000460066561934
